acquisition_id,user_id,channel,campaign_name,utm_source,utm_medium,acquisition_date,acquisition_cost
70041,1041,Organic Search,,,,2024-02-22,
70042,1042,Organic Search,,google,organic,2024-05-08,
70043,1043,Direct,,,,2024-03-04,
70044,1044,Referral,,referral,referral,2024-04-26,5.58
70045,1045,paid social,Q1_Retarget,facebook,cpc,2024-02-15,48.12
70046,1046,Paid Social,Q2_Scale,facebook,cpc,2024-01-12,42.95
70047,1047,Paid Social,Q3_Retention_Push,instagram,cpc,2024-02-25,60.47
70048,1048,Referral,,referral,referral,2024-03-24,7.97
70049,1049,Organic Search,,google,organic,2024-04-12,
70050,1050,Paid Social,Q2_Conversion,instagram,cpc,2024-01-18,30.79
70051,1051,Paid Social,Q3_Retention_Push,facebook,cpc,2024-02-13,36.23
70052,1052,Referral,,referral,referral,2024-01-03,11.32
70053,1053,Paid Social,Q2_Conversion,instagram,cpc,2024-01-13,33.34
70054,1054,Paid Social,Q2_Conversion,instagram,cpc,2024-04-23,63.81
70055,1055,Organic Search,,google,organic,2024-02-21,
70056,1056,paid_social,Q1_Awareness,instagram,cpc,2024-01-25,42.15
70057,1057,Paid Social,Q3_Retention_Push,facebook,cpc,2024-03-23,36.68
70058,1058,Direct,,,,2024-01-28,
70059,1059,Organic Search,,google,organic,2024-06-17,
70060,1060,Paid Social,Q2_Scale,instagram,cpc,2024-05-07,50.96
70061,1061,Paid Social,Q2_Conversion,instagram,cpc,2024-01-25,48.43
70062,1062,Direct,,,,2024-06-11,
70063,1063,Direct,,,,2024-05-29,
70064,1064,Referral,,referral,referral,2024-06-06,7.79
70065,1065,Direct,,,,2024-04-05,
70066,1066,Paid Social,Q1_Awareness,instagram,cpc,2024-03-25,35.0
70067,1067,Referral,,referral,referral,2024-02-28,8.93
70068,1068,Direct,,,,2024-06-27,1.83
70069,1069,Paid Social,Q2_Scale,instagram,cpc,2024-05-05,37.06
70070,1070,Organic Search,,google,organic,2024-05-20,
70071,1071,Organic Search,,google,organic,2024-02-20,
70072,1072,Organic Search,,,,2024-05-03,
70073,1073,Direct,,,,2024-05-03,
70074,1074,Paid Social,Q3_Retention_Push,facebook,cpc,2024-02-09,57.97
70075,1075,Paid Social,Q1_Awareness,facebook,cpc,2024-02-04,62.52
70076,1076,Direct,,,,2024-04-05,
70077,1077,Direct,,,,2024-05-24,1.58
70078,1078,Direct,,,,2024-05-05,0.76
70079,1079,Referral,,,,2024-01-09,9.78
70080,1080,Paid Social,Q2_Scale,facebook,cpc,2024-02-07,55.27
70081,1081,Paid Social,Q1_Retarget,instagram,cpc,2024-04-08,62.54
70082,1082,Paid Social,Q1_Awareness,facebook,cpc,2024-04-19,37.69
70083,1083,Organic Search,,google,organic,2024-01-23,
70084,1084,Direct,,,,2024-04-11,1.8
70085,1085,Organic Search,,google,organic,2024-06-16,
70086,1086,Paid Social,Q2_Scale,facebook,cpc,2024-01-29,44.97
70087,1087,Organic Search,,google,organic,2024-04-14,
70088,1088,Organic Search,,,,2024-03-11,
70089,1089,Direct,,,,2024-01-02,
70090,1090,paid_social,Q1_Retarget,instagram,cpc,2024-05-01,63.8
70091,1091,Paid Social,Q2_Conversion,facebook,cpc,2024-04-02,43.3
70092,1092,Paid Social,Q2_Conversion,facebook,cpc,2024-06-27,43.33
70093,1093,Organic Search,,google,organic,2024-03-04,
70094,1094,Paid Social,Q2_Conversion,facebook,cpc,2024-06-12,48.08
70095,1095,Paid Social,Q2_Scale,facebook,cpc,2024-02-29,55.52
70096,1096,Organic Search,,,,2024-06-28,
70097,1097,Organic Search,,google,organic,2024-01-23,
70098,1098,paid social,Q3_Retention_Push,instagram,cpc,2024-05-03,50.76
70099,1099,Paid Social,Q1_Retarget,instagram,cpc,2024-01-08,54.42
70100,1100,Organic Search,,google,organic,2024-06-20,
70101,1101,Paid Social,Q1_Retarget,instagram,cpc,2024-05-27,33.61
70102,1102,Referral,,referral,referral,2024-05-23,11.87
70103,1103,Organic Search,,google,organic,2024-05-31,
70104,1104,Referral,,,,2024-01-01,8.06
70105,1105,Paid Social,Q1_Awareness,instagram,cpc,2024-02-02,64.92
70106,1106,Organic Search,,,,2024-03-16,
70107,1107,Paid Social,Q1_Awareness,facebook,cpc,2024-03-20,37.97
70108,1108,Direct,,,,2024-06-29,
70109,1109,Referral,,referral,referral,2024-01-14,6.09
70110,1110,Direct,,,,2024-05-20,
70111,1111,Direct,,,,2024-03-13,
70112,1112,Paid Social,Q3_Retention_Push,instagram,cpc,2024-05-28,58.08
70113,1113,Organic Search,,,,2024-05-03,
70114,1114,Organic Search,,google,organic,2024-05-27,
70115,1115,Organic Search,,google,organic,2024-01-25,
70116,1116,Paid Social,Q1_Retarget,facebook,cpc,2024-02-08,30.87
70117,1117,Organic Search,,,,2024-04-06,
70118,1118,Organic Search,,,,2024-06-16,
70119,1119,Paid Social,Q1_Retarget,instagram,cpc,2024-05-26,49.64
70120,1120,Direct,,,,2024-06-14,
70121,1121,Referral,,referral,referral,2024-06-28,11.2
70122,1122,Referral,,referral,referral,2024-05-29,9.09
70123,1123,Paid Social,Q1_Retarget,instagram,cpc,2024-06-02,32.42
70124,1124,Paid Social,Q1_Retarget,instagram,cpc,2024-01-23,63.54
70125,1125,Organic Search,,google,organic,2024-06-17,
70126,1126,Referral,,referral,referral,2024-04-23,7.19
70127,1127,Paid Social,Q1_Retarget,facebook,cpc,2024-06-18,44.19
70128,1128,Paid Social,Q1_Retarget,instagram,cpc,2024-02-25,39.32
70129,1129,Paid Social,Q3_Retention_Push,facebook,cpc,2024-02-11,40.19
70130,1130,Direct,,,,2024-03-09,
70131,1131,Paid Social,Q2_Conversion,instagram,cpc,2024-02-09,58.19
70132,1132,Paid Social,Q2_Conversion,instagram,cpc,2024-01-29,40.76
70133,1133,Paid Social,Q1_Retarget,facebook,cpc,2024-02-27,32.81
70134,1134,Referral,,referral,referral,2024-03-19,11.52
70135,1135,Paid Social,Q3_Retention_Push,facebook,cpc,2024-06-04,61.46
70136,1136,Paid Social,Q2_Conversion,instagram,cpc,2024-02-02,45.68
70137,1137,Organic Search,,google,organic,2024-06-12,
70138,1138,Direct,,,,2024-03-31,1.83
70139,1139,Paid Social,Q2_Conversion,instagram,cpc,2024-01-23,40.91
70140,1140,Referral,,referral,referral,2024-02-12,6.75
70141,1141,Organic Search,,,,2024-04-18,
70142,1142,Organic Search,,google,organic,2024-06-06,
70143,1143,Organic Search,,google,organic,2024-06-18,
70144,1144,Paid Social,Q1_Retarget,facebook,cpc,2024-06-21,51.73
70145,1145,Direct,,,,2024-01-14,
70146,1146,Paid Social,Q1_Retarget,instagram,cpc,2024-01-31,54.48
70147,1147,Paid Social,Q3_Retention_Push,facebook,cpc,2024-06-13,53.34
70148,1148,Direct,,,,2024-06-06,
70149,1149,Paid Social,Q3_Retention_Push,instagram,cpc,2024-01-26,63.95
70150,1150,Paid Social,Q2_Conversion,facebook,cpc,2024-06-17,34.05
70151,1151,Organic Search,,google,organic,2024-04-22,
70152,1152,Paid Social,Q2_Conversion,facebook,cpc,2024-03-13,44.86
70153,1153,Organic Search,,google,organic,2024-06-19,
70154,1154,Paid Social,Q1_Awareness,facebook,cpc,2024-04-12,62.1
70155,1155,Paid Social,Q2_Scale,facebook,cpc,2024-02-02,48.16
70156,1156,Paid Social,Q2_Conversion,instagram,cpc,2024-06-01,63.32
70157,1157,Paid Social,Q3_Retention_Push,instagram,cpc,2024-05-10,48.87
70158,1158,Organic Search,,google,organic,2024-06-29,
70159,1159,Paid Social,Q1_Awareness,facebook,cpc,2024-02-03,42.33
70160,1160,Referral,,referral,referral,2024-01-14,6.9
70161,1161,Organic Search,,google,organic,2024-05-10,
70162,1162,Paid Social,Q2_Scale,facebook,cpc,2024-01-13,38.1
70163,1163,Organic Search,,,,2024-01-26,
70164,1164,Organic Search,,google,organic,2024-02-03,
70165,1165,Referral,,,,2024-03-11,11.27
70166,1166,Paid Social,Q2_Conversion,instagram,cpc,2024-06-16,30.39
70167,1167,Paid Social,Q2_Conversion,instagram,cpc,2024-05-01,54.15
70168,1168,Paid Social,Q1_Retarget,facebook,cpc,2024-05-23,42.83
70169,1169,Referral,,referral,referral,2024-05-14,5.81
70170,1170,Paid Social,Q1_Awareness,facebook,cpc,2024-01-16,55.27
70171,1171,Organic Search,,google,organic,2024-05-10,
70172,1172,Direct,,,,2024-05-31,
70173,1173,Paid Social,Q1_Retarget,instagram,cpc,2024-02-26,60.5
70174,1174,Organic Search,,,,2024-02-07,
70175,1175,Organic Search,,google,organic,2024-02-23,
70176,1176,Paid Social,Q1_Awareness,instagram,cpc,2024-05-20,58.17
70177,1177,Direct,,,,2024-02-26,
70178,1178,Organic Search,,,,2024-03-06,
70179,1179,Paid Social,Q1_Awareness,instagram,cpc,2024-06-10,39.18
70180,1180,Referral,,referral,referral,2024-05-02,9.13
70181,1181,Referral,,referral,referral,2024-02-16,5.52
70182,1182,Paid Social,Q3_Retention_Push,instagram,cpc,2024-01-19,37.71
70183,1183,Paid Social,Q1_Retarget,facebook,cpc,2024-01-04,43.93
70184,1184,Referral,,referral,referral,2024-01-22,6.73
70185,1185,Direct,,,,2024-03-27,
70186,1186,Direct,,,,2024-05-02,
70187,1187,Paid Social,Q2_Scale,instagram,cpc,2024-03-16,57.41
70188,1188,Direct,,,,2024-03-31,
70189,1189,Referral,,referral,referral,2024-01-29,8.25
70190,1190,Paid Social,Q2_Conversion,facebook,cpc,2024-01-22,32.95
70191,1191,Referral,,referral,referral,2024-06-19,6.88
70192,1192,Direct,,,,2024-03-08,
70193,1193,paid_social,Q1_Retarget,facebook,cpc,2024-04-09,37.28
70194,1194,Direct,,,,2024-03-12,1.38
70195,1195,Organic Search,,google,organic,2024-06-26,
70196,1196,Referral,,referral,referral,2024-05-20,11.53
70197,1197,Paid Social,Q1_Awareness,instagram,cpc,2024-06-26,44.49
70198,1198,Direct,,,,2024-05-01,1.84
70199,1199,Referral,,,,2024-02-06,11.67
70200,1200,Paid Social,Q1_Retarget,instagram,cpc,2024-02-05,52.2
70201,1201,Referral,,referral,referral,2024-06-28,11.21
70202,1202,Paid Social,Q2_Scale,instagram,cpc,2024-01-21,47.09
70203,1203,Direct,,,,2024-05-15,
70204,1204,Paid Social,Q1_Retarget,instagram,cpc,2024-02-09,30.48
70205,1205,Paid Social,Q3_Retention_Push,instagram,cpc,2024-06-23,41.28
70206,1206,Organic Search,,,,2024-04-18,
70207,1207,Paid Social,Q1_Awareness,instagram,cpc,2024-01-15,32.99
70208,1208,Organic Search,,,,2024-06-16,
70209,1209,Organic Search,,google,organic,2024-01-27,
70210,1210,Direct,,,,2024-06-01,
70211,1211,Referral,,referral,referral,2024-01-22,10.35
70212,1212,Organic Search,,google,organic,2024-03-20,
70213,1213,Referral,,,,2024-04-10,5.06
70214,1214,Paid Social,Q3_Retention_Push,instagram,cpc,2024-02-08,37.93
70215,1215,Referral,,referral,referral,2024-02-08,11.35
70216,1216,Organic Search,,google,organic,2024-06-16,
70217,1217,Direct,,,,2024-02-03,
70218,1218,Organic Search,,google,organic,2024-06-05,
70219,1219,Paid Social,Q3_Retention_Push,facebook,cpc,2024-03-20,54.59
70220,1220,Paid Social,Q1_Awareness,instagram,cpc,2024-03-16,51.49
70221,1221,Organic Search,,,,2024-05-01,
70222,1222,Direct,,,,2024-03-14,
70223,1223,Paid Social,Q2_Scale,facebook,cpc,2024-06-23,57.1
70224,1224,Paid Social,Q2_Scale,instagram,cpc,2024-03-03,37.87
70225,1225,Paid Social,Q1_Retarget,instagram,cpc,2024-02-27,44.57
70226,1226,Paid Social,Q2_Conversion,facebook,cpc,2024-02-16,64.9
70227,1227,Paid Social,Q1_Retarget,facebook,cpc,2024-03-28,63.19
70228,1228,Paid Social,Q2_Scale,instagram,cpc,2024-04-30,53.89
70229,1229,Organic Search,,google,organic,2024-04-02,
70230,1230,Paid Social,Q2_Conversion,instagram,cpc,2024-06-11,51.19
70231,1231,Direct,,,,2024-05-14,
70232,1232,Paid Social,Q2_Conversion,facebook,cpc,2024-03-30,41.5
70233,1233,Paid Social,Q3_Retention_Push,instagram,cpc,2024-06-26,31.38
70234,1234,Paid Social,Q1_Awareness,facebook,cpc,2024-03-22,35.66
70235,1235,Paid Social,Q2_Conversion,facebook,cpc,2024-06-21,31.59
70236,1236,Direct,,,,2024-05-28,
70237,1237,Paid Social,Q1_Awareness,facebook,cpc,2024-02-25,57.82
70238,1238,Direct,,,,2024-03-19,
70239,1239,Paid Social,Q1_Retarget,facebook,cpc,2024-05-18,41.64
70240,1240,Direct,,,,2024-06-01,1.01
70241,1241,Paid Social,Q2_Conversion,facebook,cpc,2024-01-26,45.09
70242,1242,Referral,,referral,referral,2024-06-08,6.64
70243,1243,Referral,,referral,referral,2024-02-24,10.54
70244,1244,Direct,,,,2024-04-28,
70245,1245,Paid Social,Q2_Conversion,instagram,cpc,2024-05-09,62.2
70246,1246,Paid Social,Q2_Scale,instagram,cpc,2024-01-02,41.35
70247,1247,Organic Search,,google,organic,2024-05-26,
70248,1248,Referral,,,,2024-05-27,7.14
70249,1249,Paid Social,Q1_Awareness,facebook,cpc,2024-04-21,30.59
70250,1250,Paid Social,Q1_Awareness,instagram,cpc,2024-06-09,49.29
70251,1251,Direct,,,,2024-06-09,
70252,1252,Direct,,,,2024-02-03,
70253,1253,Paid Social,Q3_Retention_Push,facebook,cpc,2024-05-17,57.39
70254,1254,Referral,,referral,referral,2024-02-06,6.25
70255,1255,Organic Search,,google,organic,2024-03-13,
70256,1256,Paid Social,Q1_Retarget,facebook,cpc,2024-05-05,46.98
70257,1257,Organic Search,,google,organic,2024-03-21,
70258,1258,Direct,,,,2024-03-28,
70259,1259,Direct,,,,2024-02-19,
70260,1260,Organic Search,,google,organic,2024-02-25,
70261,1261,Paid Social,Q1_Awareness,instagram,cpc,2024-05-03,60.22
70262,1262,Paid Social,Q1_Awareness,facebook,cpc,2024-04-12,40.48
70263,1263,Paid Social,Q3_Retention_Push,instagram,cpc,2024-05-30,56.89
70264,1264,Direct,,,,2024-03-10,
70265,1265,Organic Search,,google,organic,2024-01-17,
70266,1266,Paid Social,Q2_Conversion,instagram,cpc,2024-01-30,33.88
70267,1267,Paid Social,Q3_Retention_Push,instagram,cpc,2024-03-21,53.74
70268,1268,Direct,,,,2024-05-23,0.89
70269,1269,Paid Social,Q3_Retention_Push,instagram,cpc,2024-06-14,46.1
70270,1270,Paid Social,Q2_Conversion,facebook,cpc,2024-03-11,40.11
70271,1271,Referral,,,,2024-06-13,7.62
70272,1272,Paid Social,Q2_Conversion,instagram,cpc,2024-05-16,52.87
70273,1273,Paid Social,Q1_Awareness,facebook,cpc,2024-03-11,44.05
70274,1274,Organic Search,,,,2024-06-27,
70275,1275,Organic Search,,google,organic,2024-01-13,
70276,1276,Direct,,,,2024-02-18,1.65
70277,1277,Organic Search,,,,2024-01-12,
70278,1278,Organic Search,,,,2024-02-13,
70279,1279,Paid Social,Q2_Scale,facebook,cpc,2024-06-20,57.23
70280,1280,Paid Social,Q3_Retention_Push,instagram,cpc,2024-05-03,30.21
70281,1281,Paid Social,Q3_Retention_Push,facebook,cpc,2024-02-22,62.65
70282,1282,Paid Social,Q3_Retention_Push,instagram,cpc,2024-02-18,53.71
70283,1283,Organic Search,,,,2024-03-20,
70284,1284,Direct,,,,2024-04-25,
70285,1285,Direct,,,,2024-05-27,
70286,1286,Organic Search,,google,organic,2024-01-08,
70287,1287,Paid Social,Q1_Awareness,instagram,cpc,2024-02-08,36.66
70288,1288,Paid Social,Q3_Retention_Push,facebook,cpc,2024-04-18,63.97
70289,1289,Organic Search,,,,2024-01-13,
70290,1290,Referral,,referral,referral,2024-01-26,10.15
70291,1291,Direct,,,,2024-06-26,
70292,1292,Referral,,referral,referral,2024-01-25,10.94
70293,1293,Organic Search,,google,organic,2024-06-23,
70294,1294,Paid Social,Q3_Retention_Push,instagram,cpc,2024-01-06,61.08
70295,1295,Organic Search,,google,organic,2024-05-29,
70296,1296,Paid Social,Q3_Retention_Push,instagram,cpc,2024-03-15,47.1
70297,1297,Paid Social,Q2_Conversion,instagram,cpc,2024-03-26,44.27
70298,1298,Referral,,referral,referral,2024-03-31,6.18
70299,1299,Organic Search,,google,organic,2024-06-24,
70300,1300,Paid Social,Q2_Scale,instagram,cpc,2024-01-08,56.72
70301,1301,Direct,,,,2024-04-06,1.69
70302,1302,Paid Social,Q3_Retention_Push,instagram,cpc,2024-05-14,47.6
70303,1303,Direct,,,,2024-01-11,
70304,1304,Referral,,referral,referral,2024-01-03,11.8
70305,1305,Organic Search,,google,organic,2024-03-14,
70306,1306,Referral,,referral,referral,2024-03-19,9.16
70307,1307,Organic Search,,,,2024-03-13,
70308,1308,Referral,,,,2024-02-20,10.74
70309,1309,Paid Social,Q2_Scale,instagram,cpc,2024-01-26,37.41
70310,1310,Paid Social,Q1_Retarget,facebook,cpc,2024-02-05,57.64
70311,1311,Referral,,,,2024-06-09,5.46
70312,1312,paid social,Q1_Retarget,facebook,cpc,2024-05-08,45.45
70313,1313,Organic Search,,google,organic,2024-05-23,
70314,1314,Paid Social,Q3_Retention_Push,facebook,cpc,2024-05-28,32.42
70315,1315,Paid Social,Q2_Scale,instagram,cpc,2024-06-20,37.49
70316,1316,Paid Social,Q1_Retarget,instagram,cpc,2024-03-10,51.47
70317,1317,Organic Search,,google,organic,2024-01-16,
70318,1318,Organic Search,,,,2024-05-06,
70319,1319,Organic Search,,google,organic,2024-06-08,
70320,1320,Referral,,referral,referral,2024-05-09,6.45
70321,1321,Paid Social,Q2_Scale,instagram,cpc,2024-05-19,55.81
70322,1322,Paid Social,Q2_Conversion,instagram,cpc,2024-02-17,43.39
70323,1323,Organic Search,,google,organic,2024-03-15,
70324,1324,Direct,,,,2024-01-28,
70325,1325,Referral,,referral,referral,2024-03-18,8.67
70326,1326,Paid Social,Q3_Retention_Push,facebook,cpc,2024-04-29,64.93
70327,1327,Referral,,,,2024-06-29,11.82
70328,1328,Referral,,referral,referral,2024-02-05,11.9
70329,1329,Referral,,referral,referral,2024-04-30,6.52
70330,1330,Organic Search,,google,organic,2024-03-23,
70331,1331,Organic Search,,google,organic,2024-02-10,
70332,1332,Paid Social,Q1_Awareness,instagram,cpc,2024-03-01,55.96
70333,1333,Paid Social,Q2_Conversion,instagram,cpc,2024-03-05,49.04
70334,1334,Paid Social,Q2_Conversion,facebook,cpc,2024-03-23,44.16
70335,1335,Direct,,,,2024-04-22,
70336,1336,Organic Search,,google,organic,2024-01-07,
70337,1337,Paid Social,Q2_Conversion,instagram,cpc,2024-05-25,39.67
70338,1338,Organic Search,,google,organic,2024-02-23,
70339,1339,Direct,,,,2024-04-22,
70340,1340,Direct,,,,2024-05-07,
70341,1341,Organic Search,,google,organic,2024-04-01,
70342,1342,Paid Social,Q2_Conversion,instagram,cpc,2024-01-15,32.21
70343,1343,Direct,,,,2024-04-17,
70344,1344,Direct,,,,2024-06-18,
70345,1345,Paid Social,Q3_Retention_Push,instagram,cpc,2024-01-19,64.1
70346,1346,Paid Social,Q2_Scale,facebook,cpc,2024-01-11,46.3
70347,1347,Paid Social,Q1_Retarget,instagram,cpc,2024-01-15,62.53
70348,1348,Paid Social,Q3_Retention_Push,instagram,cpc,2024-01-05,58.16
70349,1349,Paid Social,Q2_Conversion,instagram,cpc,2024-01-30,51.63
70350,1350,Organic Search,,google,organic,2024-03-01,
70351,1351,Organic Search,,google,organic,2024-01-04,
70352,1352,Organic Search,,google,organic,2024-06-03,
70353,1353,Direct,,,,2024-01-20,
70354,1354,Paid Social,Q1_Retarget,facebook,cpc,2024-03-18,38.45
70355,1355,Direct,,,,2024-05-18,
70356,1356,Direct,,,,2024-02-05,
70357,1357,Organic Search,,google,organic,2024-03-01,
70358,1358,Direct,,,,2024-05-30,
70359,1359,Direct,,,,2024-04-07,
70360,1360,Referral,,referral,referral,2024-01-09,11.65
70361,1361,Referral,,referral,referral,2024-03-28,6.41
70362,1362,Organic Search,,google,organic,2024-05-21,
70363,1363,Paid Social,Q3_Retention_Push,facebook,cpc,2024-05-25,51.89
70364,1364,Paid Social,Q2_Conversion,instagram,cpc,2024-01-04,60.75
70365,1365,Referral,,referral,referral,2024-04-11,8.64
70366,1366,Direct,,,,2024-05-25,
70367,1367,Organic Search,,google,organic,2024-04-01,
70368,1368,Organic Search,,google,organic,2024-04-22,
70369,1369,Referral,,referral,referral,2024-06-07,5.28
70370,1370,Organic Search,,google,organic,2024-01-11,
70371,1371,Paid Social,Q1_Retarget,instagram,cpc,2024-03-31,33.79
70372,1372,Organic Search,,google,organic,2024-03-01,
70373,1373,Referral,,,,2024-02-06,11.47
70374,1374,Referral,,referral,referral,2024-03-16,7.63
70375,1375,Direct,,,,2024-05-10,1.04
70376,1376,Referral,,referral,referral,2024-01-09,5.47
70377,1377,Organic Search,,,,2024-05-27,
70378,1378,paid_social,Q3_Retention_Push,instagram,cpc,2024-06-17,53.17
70379,1379,Referral,,referral,referral,2024-04-02,9.44
70380,1380,Paid Social,Q1_Awareness,instagram,cpc,2024-03-31,47.12
70381,1381,Referral,,referral,referral,2024-02-02,10.59
70382,1382,Referral,,referral,referral,2024-03-28,8.39
70383,1383,Direct,,,,2024-04-26,
70384,1384,Paid Social,Q1_Awareness,facebook,cpc,2024-02-02,43.48
70385,1385,Organic Search,,google,organic,2024-03-31,
70386,1386,Organic Search,,google,organic,2024-06-06,
70387,1387,Paid Social,Q1_Retarget,instagram,cpc,2024-04-21,30.44
70388,1388,Organic Search,,google,organic,2024-01-02,
70389,1389,Paid Social,Q2_Scale,instagram,cpc,2024-01-25,59.48
70390,1390,paid social,Q2_Conversion,instagram,cpc,2024-01-11,47.88
70391,1391,Direct,,,,2024-03-13,
70392,1392,Paid Social,Q2_Conversion,instagram,cpc,2024-01-28,40.43
70393,1393,Organic Search,,google,organic,2024-01-11,
70394,1394,Paid Social,Q3_Retention_Push,facebook,cpc,2024-05-26,60.25
70395,1395,Referral,,referral,referral,2024-04-20,6.67
70396,1396,Paid Social,Q3_Retention_Push,instagram,cpc,2024-02-26,45.77
70397,1397,Organic Search,,,,2024-03-21,
70398,1398,Referral,,referral,referral,2024-06-18,6.73
70399,1399,Organic Search,,google,organic,2024-02-26,
70400,1400,Paid Social,Q1_Awareness,instagram,cpc,2024-06-11,50.0
70401,1401,Organic Search,,google,organic,2024-06-05,
70402,1402,Organic Search,,google,organic,2024-05-03,
70403,1403,Organic Search,,,,2024-06-10,
70404,1404,Paid Social,Q1_Retarget,instagram,cpc,2024-04-24,61.48
70405,1405,Direct,,,,2024-04-11,
70406,1406,Organic Search,,google,organic,2024-01-08,
70407,1407,Paid Social,Q2_Conversion,instagram,cpc,2024-03-22,60.33
70408,1408,Referral,,referral,referral,2024-03-27,6.83
70409,1409,Paid Social,Q3_Retention_Push,instagram,cpc,2024-01-29,32.94
70410,1410,Organic Search,,google,organic,2024-01-24,
70411,1411,Direct,,,,2024-04-02,1.26
70412,1412,Organic Search,,google,organic,2024-04-05,
70413,1413,Organic Search,,,,2024-05-14,
70414,1414,Paid Social,Q3_Retention_Push,instagram,cpc,2024-06-25,54.97
70415,1415,Paid Social,Q1_Awareness,instagram,cpc,2024-03-10,58.39
70416,1416,Direct,,,,2024-05-18,
70417,1417,Paid Social,Q1_Awareness,instagram,cpc,2024-04-18,43.49
70418,1418,Paid Social,Q2_Scale,facebook,cpc,2024-04-19,50.14
70419,1419,Referral,,referral,referral,2024-05-07,10.67
70420,1420,Paid Social,Q2_Scale,instagram,cpc,2024-02-29,49.7
70421,1421,Referral,,referral,referral,2024-02-13,5.9
70422,1422,Paid Social,Q1_Awareness,instagram,cpc,2024-05-25,57.55
70423,1423,Paid Social,Q1_Awareness,instagram,cpc,2024-06-25,57.31
70424,1424,Paid Social,Q2_Conversion,facebook,cpc,2024-06-15,63.66
70425,1425,Referral,,,,2024-04-18,7.28
70426,1426,Organic Search,,,,2024-01-30,
70427,1427,Direct,,,,2024-05-20,
70428,1428,Organic Search,,,,2024-06-06,
70429,1429,Paid Social,Q2_Scale,instagram,cpc,2024-03-05,62.02
70430,1430,organic_search,,,,2024-05-01,
70431,1431,Organic Search,,google,organic,2024-02-18,
70432,1432,Paid Social,Q2_Scale,instagram,cpc,2024-06-11,50.81
70433,1433,Paid Social,Q2_Conversion,instagram,cpc,2024-03-19,46.98
70434,1434,Organic Search,,google,organic,2024-02-09,
70435,1435,Organic Search,,google,organic,2024-05-31,
70436,1436,Organic Search,,google,organic,2024-02-29,
70437,1437,Paid Social,Q3_Retention_Push,facebook,cpc,2024-01-14,49.89
70438,1438,Organic Search,,google,organic,2024-04-10,
70439,1439,Paid Social,Q1_Retarget,facebook,cpc,2024-02-24,43.34
70440,1440,Referral,,referral,referral,2024-03-05,5.7
70441,1441,Paid Social,Q2_Conversion,facebook,cpc,2024-06-20,36.84
70442,1442,Direct,,,,2024-02-15,1.7
70443,1443,Paid Social,Q2_Conversion,instagram,cpc,2024-04-04,55.77
70444,1444,Direct,,,,2024-06-27,
